"bea_code","bea_cause","bea_action"
2011103,"Normal operation.","No action required."
2011102,"An unexpected condition occurred during the harvesting process.","The user should attempt to uncover the reason for the problem."
2011101,"An unexpected exception occurred during the harvesting process.","The user should attempt to uncover the reason for the underlying Exception."
2011100,"Normal operation.","No Action Required."
2011099,"Normal operation.","No action required."
2011000,"Normal operation.","No Action Required."
2004003,"No information available.","No information available."
2004002,"No information available.","No information available."
2004001,"This can happen if the Kodo-Oracle message dictionary is not available. This dictionary should be located at location.","Please contact Oracle support."
2004000,"This can happen if the Kodo-Oracle message dictionary is not available. This dictionary should be located at location.","Please contact Oracle support."
2002470,"No information available.","No information available."
2002469,"No information available.","No information available."
2002468,"No information available.","No information available."
2002467,"No information available.","No information available."
2002466,"No information available.","No information available."
2002465,"No information available.","No information available."
2002464,"No information available.","No information available."
2002463,"No information available.","No information available."
2002462,"No information available.","No information available."
2002461,"No information available.","No information available."
2002460,"No information available.","No information available."
2002459,"No information available.","No information available."
2002458,"No information available.","No information available."
2002457,"No information available.","No information available."
2002456,"No information available.","No information available."
2002455,"No information available.","No information available."
2002454,"No information available.","No information available."
2002453,"No information available.","No information available."
2002452,"No information available.","No information available."
2002451,"No information available.","No information available."
2002450,"No information available.","No information available."
2002449,"No information available.","No information available."
2002448,"No information available.","No information available."
2002447,"No information available.","No information available."
2002446,"No information available.","No information available."
2002445,"No information available.","No information available."
2002444,"No information available.","No information available."
2002443,"No information available.","No information available."
2002442,"No information available.","No information available."
2002441,"No information available.","No information available."
2002440,"No information available.","No information available."
2002439,"No information available.","No information available."
2002438,"No information available.","No information available."
2002437,"No information available.","No information available."
2002436,"No information available.","No information available."
2002435,"No information available.","No information available."
2002434,"No information available.","No information available."
2002433,"No information available.","No information available."
2002432,"No information available.","No information available."
2002431,"No information available.","No information available."
2002430,"No information available.","No information available."
2002429,"No information available.","No information available."
2002428,"No information available.","No information available."
2002427,"No information available.","No information available."
2002426,"No information available.","No information available."
2002425,"No information available.","No information available."
2002424,"No information available.","No information available."
2002423,"No information available.","No information available."
2002422,"No information available.","No information available."
2002421,"No information available.","No information available."
2002420,"No information available.","No information available."
2002419,"No information available.","No information available."
2002418,"No information available.","No information available."
2002417,"No information available.","No information available."
2002416,"No information available.","No information available."
2002415,"No information available.","No information available."
2002414,"No information available.","No information available."
2002413,"No information available.","No information available."
2002412,"No information available.","No information available."
2002411,"No information available.","No information available."
2002410,"No information available.","No information available."
2002409,"No information available.","No information available."
2002408,"No information available.","No information available."
2002407,"No information available.","No information available."
2002406,"No information available.","No information available."
2002405,"No information available.","No information available."
2002404,"No information available.","No information available."
2002403,"No information available.","No information available."
2002402,"No information available.","No information available."
2002401,"No information available.","No information available."
2002400,"No information available.","No information available."
2002399,"No information available.","No information available."
2002398,"No information available.","No information available."
2002397,"No information available.","No information available."
2002396,"No information available.","No information available."
2002395,"No information available.","No information available."
2002394,"No information available.","No information available."
2002393,"No information available.","No information available."
2002392,"No information available.","No information available."
2002391,"No information available.","No information available."
2002390,"No information available.","No information available."
2002389,"No information available.","No information available."
2002388,"No information available.","No information available."
2002387,"No information available.","No information available."
2002386,"No information available.","No information available."
2002385,"No information available.","No information available."
2002384,"No information available.","No information available."
2002383,"No information available.","No information available."
2002382,"No information available.","No information available."
2002381,"No information available.","No information available."
2002380,"No information available.","No information available."
2002379,"No information available.","No information available."
2002378,"No information available.","No information available."
2002377,"No information available.","No information available."
2002376,"No information available.","No information available."
2002375,"No information available.","No information available."
2002374,"No information available.","No information available."
2002373,"No information available.","No information available."
2002372,"No information available.","No information available."
2002371,"No information available.","No information available."
2002370,"No information available.","No information available."
2002369,"No information available.","No information available."
2002368,"No information available.","No information available."
2002367,"No information available.","No information available."
2002366,"No information available.","No information available."
2002365,"No information available.","No information available."
2002364,"No information available.","No information available."
2002363,"No information available.","No information available."
2002362,"No information available.","No information available."
2002361,"No information available.","No information available."
2002360,"No information available.","No information available."
2002359,"No information available.","No information available."
2002358,"No information available.","No information available."
2002357,"No information available.","No information available."
2002356,"No information available.","No information available."
2002355,"No information available.","No information available."
2002354,"No information available.","No information available."
2002353,"No information available.","No information available."
2002352,"No information available.","No information available."
2002351,"No information available.","No information available."
2002350,"No information available.","No information available."
2002349,"No information available.","No information available."
2002348,"No information available.","No information available."
2002347,"No information available.","No information available."
2002346,"No information available.","No information available."
2002345,"No information available.","No information available."
2002344,"No information available.","No information available."
2002343,"No information available.","No information available."
2002342,"No information available.","No information available."
2002341,"No information available.","No information available."
2002340,"No information available.","No information available."
2002339,"No information available.","No information available."
2002338,"No information available.","No information available."
2002337,"No information available.","No information available."
2002336,"No information available.","No information available."
2002335,"No information available.","No information available."
2002334,"No information available.","No information available."
2002333,"No information available.","No information available."
2002332,"No information available.","No information available."
2002331,"No information available.","No information available."
2002330,"No information available.","No information available."
2002329,"No information available.","No information available."
2002328,"No information available.","No information available."
2002327,"No information available.","No information available."
2002326,"No information available.","No information available."
2002325,"No information available.","No information available."
2002324,"No information available.","No information available."
2002323,"No information available.","No information available."
2002322,"No information available.","No information available."
2002321,"No information available.","No information available."
2002320,"No information available.","No information available."
2002319,"No information available.","No information available."
2002318,"No information available.","No information available."
2002317,"No information available.","No information available."
2002316,"No information available.","No information available."
2002315,"No information available.","No information available."
2002314,"No information available.","No information available."
2002313,"No information available.","No information available."
2002312,"No information available.","No information available."
2002311,"No information available.","No information available."
2002310,"No information available.","No information available."
2002309,"No information available.","No information available."
2002308,"No information available.","No information available."
2002307,"No information available.","No information available."
2002306,"No information available.","No information available."
2002305,"No information available.","No information available."
2002304,"No information available.","No information available."
2002303,"No information available.","No information available."
2002302,"No information available.","No information available."
2002301,"No information available.","No information available."
2002300,"No information available.","No information available."
2002299,"No information available.","No information available."
2002298,"No information available.","No information available."
2002297,"No information available.","No information available."
2002296,"No information available.","No information available."
2002295,"No information available.","No information available."
2002294,"No information available.","No information available."
2002293,"No information available.","No information available."
2002292,"No information available.","No information available."
2002291,"No information available.","No information available."
2002290,"No information available.","No information available."
2002289,"No information available.","No information available."
2002288,"No information available.","No information available."
2002287,"No information available.","No information available."
2002286,"No information available.","No information available."
2002285,"No information available.","No information available."
2002284,"No information available.","No information available."
2002283,"No information available.","No information available."
2002282,"No information available.","No information available."
2002281,"No information available.","No information available."
2002280,"No information available.","No information available."
2002279,"No information available.","No information available."
2002278,"No information available.","No information available."
2002277,"No information available.","No information available."
2002276,"No information available.","No information available."
2002275,"No information available.","No information available."
2002274,"No information available.","No information available."
2002273,"No information available.","No information available."
2002272,"No information available.","No information available."
2002271,"No information available.","No information available."
2002270,"No information available.","No information available."
2002269,"No information available.","No information available."
2002268,"No information available.","No information available."
2002267,"No information available.","No information available."
2002266,"No information available.","No information available."
2002265,"No information available.","No information available."
2002264,"No information available.","No information available."
2002263,"No information available.","No information available."
2002262,"No information available.","No information available."
2002261,"No information available.","No information available."
2002260,"No information available.","No information available."
2002259,"No information available.","No information available."
2002258,"No information available.","No information available."
2002257,"No information available.","No information available."
2002256,"No information available.","No information available."
2002255,"No information available.","No information available."
2002254,"No information available.","No information available."
2002253,"No information available.","No information available."
2002252,"No information available.","No information available."
2002251,"No information available.","No information available."
2002250,"No information available.","No information available."
2002249,"No information available.","No information available."
2002248,"No information available.","No information available."
2002247,"No information available.","No information available."
2002246,"No information available.","No information available."
2002245,"No information available.","No information available."
2002244,"No information available.","No information available."
2002243,"No information available.","No information available."
2002242,"No information available.","No information available."
2002241,"No information available.","No information available."
2002240,"No information available.","No information available."
2002239,"No information available.","No information available."
2002238,"No information available.","No information available."
2002237,"No information available.","No information available."
2002236,"No information available.","No information available."
2002235,"No information available.","No information available."
2002234,"No information available.","No information available."
2002233,"No information available.","No information available."
2002232,"No information available.","No information available."
2002231,"No information available.","No information available."
2002230,"No information available.","No information available."
2002229,"No information available.","No information available."
2002228,"No information available.","No information available."
2002227,"No information available.","No information available."
2002226,"No information available.","No information available."
2002225,"No information available.","No information available."
2002224,"No information available.","No information available."
2002223,"No information available.","No information available."
2002222,"No information available.","No information available."
2002221,"No information available.","No information available."
2002220,"No information available.","No information available."
2002219,"No information available.","No information available."
2002218,"No information available.","No information available."
2002217,"No information available.","No information available."
2002216,"No information available.","No information available."
2002215,"No information available.","No information available."
2002214,"No information available.","No information available."
2002213,"No information available.","No information available."
2002212,"No information available.","No information available."
2002211,"No information available.","No information available."
2002210,"No information available.","No information available."
2002209,"No information available.","No information available."
2002208,"No information available.","No information available."
2002207,"No information available.","No information available."
2002206,"No information available.","No information available."
2002205,"No information available.","No information available."
2002204,"No information available.","No information available."
2002203,"No information available.","No information available."
2002202,"No information available.","No information available."
2002201,"No information available.","No information available."
2002200,"No information available.","No information available."
2002199,"No information available.","No information available."
2002198,"No information available.","No information available."
2002197,"No information available.","No information available."
2002196,"No information available.","No information available."
2002195,"No information available.","No information available."
2002194,"No information available.","No information available."
2002193,"No information available.","No information available."
2002192,"No information available.","No information available."
2002191,"No information available.","No information available."
2002190,"No information available.","No information available."
2002189,"No information available.","No information available."
2002188,"No information available.","No information available."
2002187,"No information available.","No information available."
2002186,"No information available.","No information available."
2002185,"No information available.","No information available."
2002184,"No information available.","No information available."
2002183,"No information available.","No information available."
2002182,"No information available.","No information available."
2002181,"No information available.","No information available."
2002180,"No information available.","No information available."
2002179,"No information available.","No information available."
2002178,"No information available.","No information available."
2002177,"No information available.","No information available."
2002176,"No information available.","No information available."
2002175,"No information available.","No information available."
2002174,"No information available.","No information available."
2002173,"No information available.","No information available."
2002172,"No information available.","No information available."
2002171,"No information available.","No information available."
2002170,"No information available.","No information available."
2002169,"No information available.","No information available."
2002168,"No information available.","No information available."
2002167,"No information available.","No information available."
2002166,"No information available.","No information available."
2002165,"No information available.","No information available."
2002164,"No information available.","No information available."
2002163,"No information available.","No information available."
2002162,"No information available.","No information available."
2002161,"No information available.","No information available."
2002160,"No information available.","No information available."
2002159,"No information available.","No information available."
2002158,"No information available.","No information available."
2002157,"No information available.","No information available."
2002156,"No information available.","No information available."
2002155,"No information available.","No information available."
2002154,"No information available.","No information available."
2002153,"No information available.","No information available."
2002152,"No information available.","No information available."
2002151,"No information available.","No information available."
2002150,"No information available.","No information available."
2002149,"No information available.","No information available."
2002148,"No information available.","No information available."
2002147,"No information available.","No information available."
2002146,"No information available.","No information available."
2002145,"No information available.","No information available."
2002144,"No information available.","No information available."
2002143,"No information available.","No information available."
2002142,"No information available.","No information available."
2002141,"No information available.","No information available."
2002140,"No information available.","No information available."
2002139,"No information available.","No information available."
2002138,"No information available.","No information available."
2002137,"No information available.","No information available."
2002136,"No information available.","No information available."
2002135,"No information available.","No information available."
2002134,"No information available.","No information available."
2002133,"No information available.","No information available."
2002132,"No information available.","No information available."
2002131,"No information available.","No information available."
2002130,"No information available.","No information available."
2002129,"No information available.","No information available."
2002128,"No information available.","No information available."
2002127,"No information available.","No information available."
2002126,"No information available.","No information available."
2002125,"No information available.","No information available."
2002124,"No information available.","No information available."
2002123,"No information available.","No information available."
2002122,"No information available.","No information available."
2002121,"No information available.","No information available."
2002120,"No information available.","No information available."
2002119,"No information available.","No information available."
2002118,"No information available.","No information available."
2002117,"No information available.","No information available."
2002116,"No information available.","No information available."
2002115,"No information available.","No information available."
2002114,"No information available.","No information available."
2002113,"No information available.","No information available."
2002112,"No information available.","No information available."
2002111,"No information available.","No information available."
2002110,"No information available.","No information available."
2002109,"No information available.","No information available."
2002108,"No information available.","No information available."
2002107,"No information available.","No information available."
2002106,"No information available.","No information available."
2002105,"No information available.","No information available."
2002104,"No information available.","No information available."
2002103,"No information available.","No information available."
2002102,"No information available.","No information available."
2002101,"No information available.","No information available."
2002100,"No information available.","No information available."
2002099,"No information available.","No information available."
2002098,"No information available.","No information available."
2002097,"No information available.","No information available."
2002096,"No information available.","No information available."
2002095,"No information available.","No information available."
2002094,"No information available.","No information available."
2002093,"No information available.","No information available."
2002092,"No information available.","No information available."
2002091,"No information available.","No information available."
2002090,"No information available.","No information available."
2002089,"No information available.","No information available."
2002088,"No information available.","No information available."
2002087,"No information available.","No information available."
2002086,"No information available.","No information available."
2002085,"No information available.","No information available."
2002084,"No information available.","No information available."
2002083,"No information available.","No information available."
2002082,"No information available.","No information available."
2002081,"No information available.","No information available."
2002080,"No information available.","No information available."
2002079,"No information available.","No information available."
2002078,"No information available.","No information available."
2002077,"No information available.","No information available."
2002076,"No information available.","No information available."
2002075,"No information available.","No information available."
2002074,"No information available.","No information available."
2002073,"No information available.","No information available."
2002072,"No information available.","No information available."
2002071,"No information available.","No information available."
2002070,"No information available.","No information available."
2002069,"No information available.","No information available."
2002068,"No information available.","No information available."
2002067,"No information available.","No information available."
2002066,"No information available.","No information available."
2002065,"No information available.","No information available."
2002064,"No information available.","No information available."
2002063,"No information available.","No information available."
2002062,"No information available.","No information available."
2002061,"No information available.","No information available."
2002060,"No information available.","No information available."
2002059,"No information available.","No information available."
2002058,"No information available.","No information available."
2002057,"No information available.","No information available."
2002056,"No information available.","No information available."
2002055,"No information available.","No information available."
2002054,"No information available.","No information available."
2002053,"No information available.","No information available."
2002052,"No information available.","No information available."
2002051,"No information available.","No information available."
2002050,"No information available.","No information available."
2002049,"No information available.","No information available."
2002048,"No information available.","No information available."
2002047,"No information available.","No information available."
2002046,"No information available.","No information available."
2002045,"No information available.","No information available."
2002044,"No information available.","No information available."
2002043,"No information available.","No information available."
2002042,"No information available.","No information available."
2002041,"No information available.","No information available."
2002040,"No information available.","No information available."
2002039,"No information available.","No information available."
2002038,"No information available.","No information available."
2002037,"No information available.","No information available."
2002036,"No information available.","No information available."
2002035,"No information available.","No information available."
2002034,"No information available.","No information available."
2002033,"No information available.","No information available."
2002032,"No information available.","No information available."
2002031,"No information available.","No information available."
2002030,"No information available.","No information available."
2002029,"No information available.","No information available."
2002028,"No information available.","No information available."
2002027,"No information available.","No information available."
2002026,"No information available.","No information available."
2002025,"No information available.","No information available."
2002024,"No information available.","No information available."
2002023,"No information available.","No information available."
2002022,"No information available.","No information available."
2002021,"No information available.","No information available."
2002020,"No information available.","No information available."
2002019,"No information available.","No information available."
2002018,"No information available.","No information available."
2002017,"No information available.","No information available."
2002016,"No information available.","No information available."
2002015,"No information available.","No information available."
2002014,"No information available.","No information available."
2002013,"No information available.","No information available."
2002012,"No information available.","No information available."
2002011,"No information available.","No information available."
2002010,"No information available.","No information available."
2002009,"No information available.","No information available."
2002008,"No information available.","No information available."
2002007,"No information available.","No information available."
2002006,"No information available.","No information available."
2002005,"No information available.","No information available."
2002004,"No information available.","No information available."
2002003,"No information available.","No information available."
2002002,"No information available.","No information available."
2002001,"No information available.","No information available."
2002000,"No information available.","No information available."
2000610,"No information available.","No information available."
2000609,"No information available.","No information available."
2000608,"No information available.","No information available."
2000607,"No information available.","No information available."
2000606,"No information available.","No information available."
2000605,"No information available.","No information available."
2000604,"No information available.","No information available."
2000603,"No information available.","No information available."
2000602,"No information available.","No information available."
2000601,"No information available.","No information available."
2000600,"No information available.","No information available."
2000599,"No information available.","No information available."
2000598,"No information available.","No information available."
2000597,"No information available.","No information available."
2000596,"No information available.","No information available."
2000595,"No information available.","No information available."
2000594,"No information available.","No information available."
2000593,"No information available.","No information available."
2000592,"No information available.","No information available."
2000591,"No information available.","No information available."
2000590,"No information available.","No information available."
2000589,"No information available.","No information available."
2000588,"No information available.","No information available."
2000587,"No information available.","No information available."
2000586,"No information available.","No information available."
2000585,"No information available.","No information available."
2000584,"No information available.","No information available."
2000583,"No information available.","No information available."
2000582,"No information available.","No information available."
2000581,"No information available.","No information available."
2000580,"No information available.","No information available."
2000579,"No information available.","No information available."
2000578,"No information available.","No information available."
2000577,"No information available.","No information available."
