error, Description
000148, Warning: Migratable server "name" is misconfigured. For automatic migration, a pool of machines should be assigned to the Cluster or each migratable server in the cluster should at least have couple of machines assigned to it for automatic migration.
000149, Error: Server failed to get a connection to the leaseTableOwner during operation.
000150, Error: Server failed to get a connection to the leaseTableOwner in the past time seconds for lease renewal. Server will shut itself down.
000151, Info: Server "serverName" has taken over the role of Cluster Master.
000152, Info: Server "serverName" lost the privileges to be the Cluster Master.
000153, Error: Cluster is misconfigured. For automatic migration, a pool of machines should be assigned to the Cluster or each migratable server in the cluster should at least have couple of machines assigned to it for automatic migration.
000154, Error: Cluster is misconfigured. The remote cluster address address is not a valid URL.
000155, Notice: Configured cluster address is invalid : address. Constructing cluster address dynamically.
000156, Error: Could not send out new attributes for cluster member name: ioe.
000157, Error: Failed to restart/migrate server "serverName" to one of machines machines
000158, Info: Server has stopped sending cluster heartbeats and announcements. It is still receiving heartbeats and announcements from other cluster members.
000159, Warning: Clocks of machines hosting local server and remote server "serverName" are off by diff seconds
000160, Error: Request to synchronize JNDI tree is made over a insecure channel. Please configure a secure HTTP channel for all the servers in the cluster.
000161, Error: Multicast message from server serverName appears to be tampered.
000162, Notice: Starting "type" replication service with remote cluster address "url"
000163, Notice: Stopping "type" replication service
000164, Notice: Synchronized cluster JNDI tree from server serverName.
000165, Error: Some other domain has a cluster that is configured to use the same multicast address and port as a cluster in domain. Two domains in the same LAN should not use the same multicast address.
000166, Error: Some other cluster in this domain is configured to use the same multicast address as cluster. Clusters cannot use the same multicast address.
000167, Error: Some services failed to rollback successfully when we tried to abort the migration: e.
000168, Error: Failed to restart/migrate server "serverName" because of e
000169, Error: There is an entry for "serverName" in the migration tables, but there is no corresponding server configured in this domain.
000170, Error: Server serverName did not receive the multicast packets that were sent by itself
000171, Error: Failed to load the custom Singleton Services SQL Query Helper: queryHelperClassName, because of t.
000172, Error: TCP/IP socket failure occurred while fetching statedump over HTTP from serverName. \nError message received: remoteError. \nThe request was generated by localServerDetails. \ne
000173, Debug: message
000174, Warning: message e
000175, Error: The provided script does not exist: filename. The script is used by target.
000176, Error: serverName does not specify a machine.
000178, Error: Failed to execute scriptname because of e.
000179, Error: target failed while altering its lease.
000180, Error: Unable to retrieve Job id from the database. The retrieval failed with e
000181, Debug: name
000182, Info: Job Scheduler created a job with ID id for TimerListener with description description
000183, Info: Successfully cancelled job with ID id
000184, Warning: This server did not attempt to renew its lease for seconds seconds. The server may restarted or migrated.
000185, Info: Despite the delay in the lease-renewing thread, the server has successfully renewed its lease. It is no longer in imminent risk of being migrated or restarted.
000186, Error: An error was encountered while migrating serviceName: e
000187, Info: The Singleton Service serviceName is now registered on this server. This server may be chosen to host this service.
000188, Info: The Singleton Service serviceName is no longer registered on this server.
000189, Info: The Singleton Service serviceName is now active on this server.
000190, Info: The Singleton Service serviceName has been deactivated on this server.
000191, Info: Now monitoring the Migratable Server serverName
000192, Warning: No currently living server was found that could host serviceName. The server will retry in a few seconds.
000193, Error: The JTA service for serverName has failed, but serverName is still running. JTA cannot be migrated from a running server.
000194, Warning: An error was encountered while trying to report a migration event: e.
000195, Warning: An error was encountered while trying to save a migration event. The error was: e
000196, Warning: Received data about a migration of type type, but no such type is recognized by the admin server.
000197, Notice: Listening for announcements from cluster using unicast cluster messaging
000198, Error: All Replication calls for cluster clusterName must be made over channel channel
000199, Error: Replication calls can only be made by rights over channelType channel
000200, Alert: The proper license key was not found. maxAddresses=newMaxAddresses0 licenseException1
000201, Notice: Thread "thread0" listening on port port1, ip address addr2
000202, Notice: Thread "thread0" listening on port port1.
000203, Notice: Reopening listen socket on port port0.
000204, Critical: Failed to listen on port port0, failure count: fails1, failing for secs2 seconds, e3
000205, Notice: After having failed to listen, the server is now listening on port port0.
000206, Critical: Attempting to close and reopen the server socket on port port0.
000207, Emergency: Unable to create a server socket for: listenAddress0, port: port1. ex2 The address listenAddress0 might be incorrect or another process is using port port1.
000208, Emergency: Unable to create a server socket for port: port0. ex1 Perhaps another process is using port port0.
000209, Emergency: ListenThread.run() failed: th0
000210, Emergency: The WebLogic Server is no longer listening for connections.
000211, Notice: Connection rejected, the server license allows connections from only ma0 unique IP addresses.
000212, Notice: Connection rejected, filter blocked sock0, fe1
000213, Info: Adding address: ad0 to licensed client list
000214, Info: WebLogic Server "name1" version:\nversion0 Copyright (c) 1995, 2009, Oracle and/or its affiliates. All rights reserved.
000215, Info: Loaded License : licenseLocation0
000216, Notice: WebLogic Server Started
000217, Critical: Failed to fully suspend the server due to: e0
000218, Alert: Server shutdown has been requested by requester0
000219, Alert: The shutdown sequence has been initiated.
000220, Notice: Cannot shutdown the server, the request was from a null user (Principal).
000221, Notice: Cannot shutdown the server, the request was from a nameless user (Principal).
000222, Notice: Cannot disable server logins, the request was from a null user (Principal).
000223, Notice: Cannot disable server logins, the request was from a nameless user (Principal).
000224, Notice: Cannot enable server logins, the request was from a null user (Principal).
000225, Notice: Cannot enable server logins, the request was from a nameless user (Principal).
000226, Alert: The enabling of server logins has been requested by requester0
000227, Alert: Server logins have been enabled.
000228, Alert: The disabling of server logins has been requested by requester0
000229, Alert: Server logins have been disabled.
000230, Critical: Failed to submit shutdown pending command: e0
000231, Info: Waiting secs0 seconds for server shutdown.
000232, Info: Server shutdown is commencing NOW and is irreversible.
000233, Info: Requesting all threads to perform their own shutdown.
000234, Info: Waiting secs0 seconds for threads to complete shutdown.
000235, Critical: Failed to submit shutdown command: e0
000236, Info: Stopping execute threads.
000237, Emergency: Server shutdown due to fatal exception: e0
000238, Info: Shutdown has completed.
000239, Alert: The cancellation of server shutdown has been requested by requester0
000240, Notice: Cannot cancel the server shutdown, the request was from a null user (Principal).
000241, Notice: Cannot cancel the server shutdown, the request was from a nameless user (Principal).
000242, Alert: Cannot cancel server shutdown: there is already no shutdown in progress.
000243, Alert: It is too late to cancel the server shutdown: the shutdown is already in progress.
000244, Info: Cancelling server shutdown.
000245, Alert: Failed to correctly inform all server components that shutdown was canceled: e0
000246, Info: Server shutdown has been canceled and logins are enabled.
000247, Info: Server shutdown has been cancelled, but note that logins are disabled. If desired, enable logins separately.
000248, Critical: Problem while trying to get localized T3Srvr message, messageid m0, e1
000249, Critical: Sorry, because weblogic.ConsoleInputEnabled=true the server can only be shut down from the command line. Type the command "shut" in the window in which the server was started.
000250, Critical: Not listening for SSL, th0
000251, Info: Switched to group "gid0"
000252, Critical: Cannot switch to group "gid0". th
000253, Info: Switched to user "gid0"
000254, Critical: Cannot switch to user "gid0". th
000255, Critical: Not listening on administrative port, th0
000256, Info: Invoking name0.main(args1)
000257, Critical: Exception reading command: e0
000258, Info: command [cmd0]
000259, Info: Console: Profiling enabled
000260, Info: Console: Profiling disabled
000261, Critical: system user is not permitted to shutdown, e0
000262, Error: No such command: cmd0
000263, Info: GC: Before free/total=free0/total1 (percent2%)
000264, Info: GC: After free/total=free0/total1 (percent2%)
000265, Notice: Attempt to unbind ClientContext "cc0" that is not bound.
000266, Info: cc0 has n1.
000267, Info: cc0 had a negative workQueueDepth of n1
000268, Critical: Failed to send unsolicted message "obj0" to client, e1
000269, Info: The connection to the client using "cc0" has been unexpectedly lost due to reason1. The server is initiating a hard disconnect.
000270, Info: Timing out "cc0" because it was idle.
000271, Info: Ignoring a repeated request to schedule the death of "cc0".
000272, Info: Scheduling the death of "cc0".
000273, Info: Removing "cc0" because of hard disconnect timeout.
000274, Info: Removing "cc0" because of soft disconnect timeout.
000275, Info: Soft disconnect pending for min0.
000276, Info: Hard disconnect pending for min0.
000277, Info: Idle disconnect pending for min0.
000278, Critical: Destroy of workspace key "key0" failed, th1
000279, Critical: Error setting event connect parameters, e0
000280, Critical: Error generating connect event, e0
000281, Critical: Error setting event disconnect parameters, e0
000282, Critical: Error generating disconnect event, e0
000283, Critical: Failed to marshal response, ioe0
000284, Critical: Unexpected failure to marshal response, rte0
000285, Critical: ExecutionContext received an unexpected softDisconnect.
000286, Critical: Failed to invoke startup class "name0", th1
000287, Info: Invoking startup class: name0.startup(args1)
000288, Info: name0 reports: result1
000289, Critical: Failed to invoke shutdown class "name0", th1
000290, Info: Invoking shutdown class: name0.shutdown(args1)
000291, Info: name0 reports: result1
000292, Info: Shutting down name0
000293, Critical: name0 missed action event, e1
000294, Alert: name0 missed trigger event generation, e1
000295, Alert: name0 missed trigger event, e1
000296, Alert: Security configuration problem with certificate file filename0, th1
000297, Error: Inconsistent security configuration, th0
000298, Notice: Certificate expires in days0 days: cert1
000299, Critical: Running low strength (exportable) WebLogic Server build and full strength (domestic) SSL license.\n Only low strength (exportable) SSL connections will be accepted.
000300, Info: Certificate contents: cert0
000301, Warning: Using only low strength (exportable) cipher suites with a full strength (domestic) license and certificates.
000302, Critical: SSLListenThread failed in call to weblogic.net.http.Handler.init(), th0
000303, Critical: The proper license key for SSL was not found. e0\n Not listening for SSL.
000304, Critical: Attempting to use full strength (domestic) certificates without a full strength (domestic) license.
000305, Critical: Attempting to use full strength (domestic) certificates without a full strength (domestic) software build.
000306, Critical: Cannot use SSL, no certificates have been specified in the WebLogic configuration.
000307, Info: Exportable key maximum lifespan set to uses0 uses.
000308, Info: Using full strength (domestic) SSL.
000309, Error: Attempting to use a full strength (domestic) cipher suite without a full strength (domestic) license.
000310, Info: Using low strength (exportable) SSL.
000311, Warning: Attempting to use low strength (exportable) certificates with a full strength (domestic) license.
000312, Critical: Cannot require clients to have certificates without specifying a valid value for SSL TrustedCAFileName.
000313, Info: Using number0 client root CAs.
000314, Alert: The execution class "class0" did not retrieve a T3Executable or T3ExecutableLazy.
000315, Alert: Unexpected failure of T3ExecutableLazy, th0
000316, Critical: enableWatchDog() is not permitted from within a server.
000317, Critical: disableWatchDog() is not permitted from within a server.
000318, Info: Bound WARManager at name0
000319, Info: Prevented user "user0" from submitting to topic "topic1"
000320, Info: Error creating Runtime MBean for Execute Queue name
000321, Info: Error creating Runtime MBean for Timer t
000322, Info: Error creating Runtime MBean for Server t
000323, Info: Error creating Runtime MBean for JVM t
000324, Info: License allows full strength (domestic) SSL.
000325, Info: License allows low strength (export) SSL.
000326, Notice: thread0 delay listening for port1 seconds
000327, Notice: Starting WebLogic Admin Server "servername0" for domain "domainname1"
000328, Notice: Starting WebLogic Managed Server "servername0" for domain "domainname1"
000329, Notice: Started WebLogic Admin Server "servername0" for domain "domainname1" running in Production Mode
000330, Notice: Started WebLogic Managed Server "servername0" for domain "domainname1" running in Production Mode
000331, Notice: Started WebLogic Admin Server "servername0" for domain "domainname1" running in Development Mode
000332, Notice: Started WebLogic Managed Server "servername0" for domain "domainname1" running in Development Mode
000333, Warning: Queue usage is greater than QueueLengthThresholdPercent "percent%" of the maximum queue size. We'll try to allocate ThreadsIncrease "threads" thread(s) to help.
000334, Warning: "percent%" of starting server free memory available.
000335, Warning: Percent of starting server free memory is now at "percent%". This is less than the configured threshold of "threshold%". We will try to garbage collect, but you may consider rebooting.
000336, Warning: After garbage collecting, server free memory is at "percent%".
000337, Error: name has been busy for "elapsedTime" seconds working on the request "curReq", which is more than the configured time (StuckThreadMaxTime) of "maxTime" seconds. Stack trace:\nstacktrace
000338, Emergency: All threads appear busy, we will try to help by allocating (ThreadsIncrease) "count" more thread(s).
000339, Info: name has become "unstuck".
000340, Warning: Max Threshold Reached for Open Sockets [Total Open Sockets: size, Allowed Max: max], No More Connections allowed.
000341, Info: Accepting connections again.
000342, Emergency: Unable to initialize the server: msg
000343, Warning: Health monitor for "name" failed to register because of exception "e".
000344, Warning: Health monitor for "name" failed to unregister because of exception "e".
000349, Info: Not all the ListenPort(s) started properly.
000350, Emergency: Unable to create a server socket on Channel channelName for: listenAddress0, port: port1. ex2 Perhaps the address listenAddress0 is incorrect or another process is using port port1.
000351, Emergency: Unable to create a server socket on Channel channelName for port: port0. ex1 Perhaps another process is using port port0.
000352, Notice: Thread "thread0" stopped listening on port port1
000353, Notice: Thread "thread0" stopped listening on port port1, ip address addr2
000354, Notice: Thread "thread0" listening on port port1
000355, Notice: Thread "thread0" listening on port port1, ip address addr2
000356, Notice: Starting WebLogic Independent Managed Server "servername0" for domain "domainname1"
000357, Notice: Started WebLogic Independent Managed Server "servername0" for domain "domainname1" running in Development Mode
000358, Notice: Started WebLogic Independent Managed Server "servername0" for domain "domainname1" running in Production Mode
000359, Emergency: Either the ListenPort on the ServerMBean or the ListenPort on the SSLMBean has to be enabled by setting its associated ListenPortEnabled field to true
000360, Notice: Server started in state mode
000361, Critical: Server failed during initialization of server subsystem ==> serverService
000362, Critical: Server failed. Reason: msg
000363, Critical: Server subsystem "serverService" failed during suspend
000364, Critical: Server failed during initialization. Exception: e
000365, Notice: Server state changed to state
000366, Critical: Server failed to shutdown. Exception: e
000367, Info: Start monitoring handshake with local NodeManager complete.
000368, Error: Start Monitoring handshake with local NodeManager failed, Exception - arg.
000369, Info: Stop Monitoring handshake with local NodeManager complete.
000370, Error: Stop Monitoring handshake with local NodeManager failed, Exception - arg.
000371, Error: Error in Server Shutdown: th0.
000372, Warning: HostName: hostname, maps to multiple IP addresses: addressString
000373, Warning: An attempt to set the number of threads on execute queue "name" to count could not be honored for it exceeds the configured maximum of max. The server is very busy and automatically increased the number of available threads to the maximum configured.
000374, Notice: Waiting for ExecuteQueue name to finish count pending requests
000375, Error: Error starting MDB t
000376, Critical: \n****************************************************\nServer failed to gracefully shutdown.\nUse Force shutdown command to bring the server down\n****************************************************\ne
000377, Info: Starting WebLogic Server with name Version version from vendor
000378, Notice: Server failed to shutdown within the configured timeout of timeout seconds. The server process will exit now.
000379, Info: dumpStack
000380, Debug: SLC: msg
000381, Error: ServerLifeCycle operation failed.\nMessage: msg\nth
000382, Notice: A critical service failed. The server will automatically transition to ADMIN state
000383, Error: A critical service failed. The server will shut itself down
000384, Critical: A fatal configuration failure occured during startup. check if the config.xml contains invalid entries. Reason: msg
000385, Critical: Server health failed. Reason: reason
000386, Critical: Server subsystem failed. Reason: th
000387, Debug: Health monitor: msg
000388, Notice: JVM called WLS shutdown hook. The server will force shutdown now
000389, Error: Configured stuck thread action failed during execution. reason\nth
000390, Notice: WorkManager name belonging to application appName and module moduleName is shutdown as it exceeded the stuck thread limit of stuckThreadLimit
000391, Notice: Application appName is transitioned into admin mode as it exceeded the stuck thread limit of stuckThreadLimit
000392, Notice: WorkManager name belonging to application appName and module moduleName is restarted as threads are unstuck
000393, Notice: Application name is back in production mode since threads have become unstuck
000394, Critical: \n\nDEADLOCK DETECTED:\n==================\n\ndump
000395, Notice: Following extensions directory contents added to the end of the classpath:\nclasspath
000396, Alert: Server operation has been requested by requester0
000397, Debug: SetUID: msg
000398, Critical: WebLogic Server "servername0" for domain "domainname1" is running with Class caching enabled in Production Mode. Class caching is NOT SUPPORTED in Production mode. Please disable Class caching by setting CLASS_CACHE to "false" in startWeblogic script and then restarting the server.
000400, Debug: msg
000401, Critical: Socket queue full, dropping socket\n qfe.
000402, Warning: There are: numSockets active sockets, but the maximum number of socket reader threads allowed by the configuration is: getMaxSocketReaders. You may want to alter your configuration.
000403, Error: IOException occurred on socket: socket\n ioe.
000404, Critical: ThreadDeath in processSockets\n td.
000405, Error: Uncaught Throwable in processSockets\n t.
000406, Info: time_stamp
000407, Warning: Cannot find getCPUCount() method\n bizzare.
000408, Info: Allocating nreaders NT reader threads
000409, Error: Problem on socket: sock\n e
000410, Warning: Attempt to read from socket sock that has been shutdown.
000411, Warning: No IORecord present for fd: fd
000412, Warning: No MuxableSocket present for fd: fd
000413, Error: Failure in processSockets() - GetData: gd\n t
000414, Alert: Could not initialize POSIX Performance Pack.
000415, Info: System has file descriptor limits of - soft: soft, hard: hard
000416, Info: Using effective file descriptor limit of: current open sockets/files.
000417, Alert: Could not schedule trigger\n tte
000418, Info: Allocating: nreaders POSIX reader threads.
000419, Critical: Failure in timeout callback\n t.
000420, Error: Bad result: polled from poll().
000421, Error: Uncaught Throwable in processSockets\n t.
000422, Warning: Got exception for fd: fd with no corresponding table entry
000423, Warning: Got data for fd: fd with no corresponding table entry.
000424, Error: IOException on socket: sock, fd: fd\n ioe.
000425, Error: Got data for fd: fd but getSocket() returned null.
000426, Info: SO_TIMEOUT was zero for: socket.
000427, Error: Received interrupted reading from socket: socket fd: fd\n iioe.
000428, Error: Unable to load performance pack, using Java I/O instead. msg\n t
000429, Error: Muxer received error: msg\n t.
000430, Debug: msg\n e
000431, Info: Accepted Connection: Filtering is set to: "filterOn" Remote Address: "rAddr" Remote Port: "rPort" Local Address: "lAddr" Local Port: "lPort" Protocol: "protocol"
000432, Error: Unable to load performance pack. Using Java I/O instead.\n t
000433, Error: Unable to load performance pack. Using Java I/O instead. msg\n t
000434, Error: Unable to create Java Muxer.
000435, Error: Unable to initiate read for the socket. The maximum allowed number of pending IO requests (maxfds) have exceeded.
000436, Info: Allocating nreaders reader threads.
000437, Error: SSL is not supported when using nio. Please either disable native I/O, or use the standard performance pack.
000438, Error: Unable to load performance pack. Using Java I/O instead. msg\n
000439, Error: Unable to create Java Muxer.
000440, Error: Unable to initiate IO for socket\n ex.
000441, Warning: Unable to find internal data record for the socket socket, with IO completion result success
000442, Warning: Connection attempt was rejected because the incoming protocol is not enabled on channel "channel".
000443, Warning: Connection attempt was rejected because the incoming protocol protocol is not enabled on channel channel.
000444, Warning: Could not load the performance pack that can take advantage of /dev/(e)poll device due to:\n\tt. \nWill attempt to use the performance pack that does not depend on /dev/(e)poll device.
000445, Notice: Connection rejected, filter blocked sock0, fe1
000446, Info: Native IO Enabled.
000447, Info: Native IO Disabled. Using Java IO.
000448, Error: Socket channel support has been enabled for a JVM on which the feature is unsupported.
000449, Warning: Closing socket as no data read from it on host:port during the configured idle timeout of idleTimeout secs
000450, Warning: Socket socket internal data record unavailable (probable closure due idle timeout), event received event
000451, Warning: Closing socket as end of file is encountered while reading from the socket to the ONS server at onsAddr.
000452, Warning: An exception occurred on the socket to the ONS server at onsAddr: t
000453, Error: An exception occurred while processing message sent from the ONS server at onsAddr: e
000454, Error: Unable to establish connection to remote ONS process at host:port. Exception occurred while doing handshake: e
000455, Error: Attempting to remove unregistered HandshakeCompletedListener: class=class, instance=instance.
000500, Debug: msg
000501, Info: Peergone send failed - target unreachable
000502, Info: Peergone send failed - target already gone
000503, Error: Incoming message header or abbreviation processing failed\n e
000504, Error: Unmarshal exception: received illegal command code:\ne
000505, Error: Peer did not send us a valid heartbeat interval - using the default heartbeat specified as a property.
000506, Error: Closing: connection because of problem
000507, Warning: Could not create/send request to close duplicate connection message\n e
000508, Error: Id: id in use by: o, can not install ri
000509, Error: Finder not initialized
000510, Warning: Unsolicited response: resp
000511, Warning: Unsolicited error response for: rid
000512, Info: New heartbeat period: val1 is different from established heartbeat period: val2 - using established heartbeat period
000513, Info: Failure in heartbeat trigger for RJVM: id\n t.
000514, Error: openConnection() failed\n e
000515, Error: execute failed\n t
000516, Error: The HTTP Scavenger could not schedule a trigger\n e
000517, Debug: msg\nt
000518, Debug: msg\nt
000519, Warning: Unable to connect to a remote server on address address and port port with protocol protocol. The Exception is t
000520, Info: Network Configuration\ninfo
000521, Emergency: No default listen port was enabled for the server. The default plain-text and/or default SSL port must be enabled in addition to those on the optional configured channels. If the plain text port is disabled, ensure that SSL is configured and that the SSL port is enabled.
000522, Emergency: A port conflict was detected in the server configuration. The server is configured to listen on two ports that have the same port number and IP address. Channel "channel1" address "address1" port port conflicts with channel "channel2" address "address2" port port.
000523, Info: none
000524, Info: Network Channel
000525, Info: Listen Address
000526, Info: Listen Port
000527, Info: SSL Listen Port
000529, Info: External DNS Name
000530, Info: Cluster Address
000531, Info: Protocol(s)
000532, Info: Tunneling Enabled
000533, Info: Outgoing Enabled
000534, Info: Admin Traffic Only
000535, Info: Admin Traffic OK
000536, Info: Channel Weight
000537, Info: Accept Backlog
000539, Info: Login Timeout
000540, Info: Login Timeout SSL
000541, Info: Max Message Size HTTP
000542, Info: Message Timeout HTTP
000543, Info: Max Message Size COM
000544, Info: Message Timeout COM
000545, Info: Max Message Size IIOP
000546, Info: Message Timeout IIOP
000547, Info: Idle Timeout IIOP
000548, Info: Max Message Size T3
000549, Info: Message Timeout T3
000550, Info: ms
000551, Info: secs
000552, Info: Administrator
000553, Info: Default
000554, Info: not configured
000555, Info: Tunneling Timeout
000556, Info: Tunneling Ping
000557, Info: Cluster Participant
000558, Info: Cluster Name
000559, Info: Cluster Multicast Address
000560, Info: Cluster Multicast Interface
000561, Info: Cluster Multicast Port
000562, Info: Cluster Multicast TTL (max hops)
000563, Info: Cluster Multicast Send Delay
000564, Info: Cluster Multicast Buffer Size
000565, Info: Native Socket IO Enabled
000566, Info: Java Socket IO Thread Pool %
000567, Info: Java Socket IO Timeout Min
000568, Info: Java Socket IO Timeout Max
000569, Info: Reverse DNS Allowed
000570, Info: Network Configuration for Channel "name"\n Listen Address\t\t address\n Public Address\t\t extAddress\n Http Enabled\t\t httpenabled\n Tunneling Enabled\t tunneling\n Outbound Enabled\t outbound\n Admin Traffic Enabled\t admin
000571, Debug: Network Configuration Detail for Channel "name"\n Channel Weight\t\t weight\n Accept Backlog\t\t backlog\n Login Timeout\t\t loginTimeoutms\n Max Message Size\t maxMessage\n Message Timeout\t messageTimeouts\n Idle Timeout\t\t idleTimeouts\n Tunneling Timeout\t tunnelTimeouts\n Tunneling Ping\t\t tunnelPing>s
000572, Error: The server rejected a connection attempt problem probably due to an incorrect firewall configuration or admin command.
000600, Error: Callback str failed: \nt
000601, Info: AdminProxyWatchDog: Enabled. Interval = intervalSecs secs.
000602, Error: AdminProxyWatchDog: Enable failed.
000603, Info: AdminProxyWatchDog: Disabled.
000604, Error: AdminProxyWatchDog: Disable failed.
000605, Error: Connectivity lost to WatchDog Client. Shutting down.
000606, Error: AdminProxyWatchDog: No echo received in last diff minutes. Shutting down.
000607, Info: AdminProxyWatchDog: Echo Received.
000608, Info: AdminProxyWatchDog: Tick. diff = diff
000609, Error: An error occurred during server shutdown: th0.
000610, Debug: arg0
000611, Info: No resources in the pool poolName will be tested, as specified MaxUnavailable val has been reached.
000612, Info: All val resource instances currently available in the pool poolName are being tested.
000613, Info: Testing of resources upon creation has been dynamically enabled for pool "poolName".
000614, Info: Testing of resources upon creation has been dynamically disabled for pool "poolName".
000615, Info: Testing of resources when being reserved has been dynamically disabled for pool "poolName".
000616, Info: Testing of resources when being reserved has been dynamically enabled for pool "poolName".
000617, Info: Testing of resources when being released has been dynamically enabled for pool "poolName".
000618, Info: Testing of resources when being released has been dynamically disabled for pool "poolName".
000619, Error: Unable to forcibly release resource "resName" back into the pool "poolName". Received exception: error.
000620, Warning: Forcibly releasing inactive resource "res" back into the pool "pool".
000621, Error: Expected RemoteException, RuntimeException, or Error\n th
000622, Warning: Ignoring attempt to release resource "res" to pool "pool" after the pool has been shutdown.
000623, Warning: Setting CapacityIncrement for pool "pool" to 1. The specified value of "oldVal" is not valid.
000624, Warning: Setting frequency of testing of free resources in pool "pool" to 5 seconds, since the specified value of "oldVal" is not valid.
000625, Info: The application has disabled periodic testing of free resources in pool "pool".
000626, Info: Free resources in pool "pool" will be tested every "freq" seconds.
000627, Info: Reached maximum capacity of pool "pool", making "newVal" new resource instances instead of "oldVal".
000628, Info: Created "count" resources for pool "pool", out of which "avl" are available and "unavl" are unavailable.
000629, Warning: Recreated "actualCnt" out of "count" resources for pool "pool".
000630, Warning: Unable to create "count" resources for pool "pool".
000631, Warning: Unknown resource "res" being released to pool "pool": trace
000632, Warning: Resource Pool "pool" shutting down, ignoring count resources still in use by applications..
000700, Debug: msg
000701, Error: Unable to mount the fileSystem named name\n e
000702, Error: Unable to unmount the fileSystem named name\n e
000703, Error: Unable to get fileSystem context from Root\n e
000704, Error: Cannot create file system at previx\n ie
000705, Info: Created file system at name
000706, Error: Unable to find remote file path\n e
000707, Error: Unable to open remote file path\n e
000708, Error: T3RemoteOutputStreamProxy: write timed out or interrupted - num1, num2
000709, Error: T3RemoteOutputStreamProxy: flush timed out or interrupted - num1, num2
000710, Error: TimeRepeat trigger scheduled to run at a date in the past : date, trigger will not repeat
000711, Error: Uncaught throwable in run\n t
000712, Error: Exception invoking head\n th
000713, Error: Exception closing stream\n th
000800, Critical: name stopped.
000801, Info: ExecuteRequest: name cancelled.
000802, Error: ExecuteRequest failed\n t.
000803, Error: The Class cls has a setter method for attribute attribute which does not have a constructor that could be initialized from a String value of value.
000804, Error: The Class Class attribute attribute could not be initialized with value value. The exception message is exception.
000805, Notice: Self-tuning thread pool is disabled. An execute queue will be created for each WorkManager definition.
